Title,Directors,Year
Trois souvenirs de ma jeunesse,Arnaud Desplechin,2014
De l'autre côté de la porte,Laurence Thrush,2008
La Peur,Damien Odoul,2014
Stand,Jonathan Taieb,2014
Casa Grande,Fellipe Barbosa,2014
La Mort en direct,Bertrand Tavernier,1979
Oriana Fallaci,Marco Turco,2015
Les Pyramides Bleues,Arielle Dombasle,1987
Le Retour,Andreï Zviaguintsev,2003
Les Châteaux de sable,Olivier Jahan,2013
Le Dos Rouge,Antoine Barraud,2012
Lena,Jan Schomburg,2012
Je suis mort mais j'ai des amis,"Guillaume Malandrin,Stéphane Malandrin",2015
Le Voyage en Occident,Ming-liang TSAI,2013
Refugiado,Diego Lerman,2014
Last Summer,Mark Thiedeman,2013
Something Must Break,Ester Martin Bergsmark,2014
Le Secret de Kanwar,Anup Singh,2012
Les Chiens errants,Ming-liang TSAI,2013
Comme le vent,Marco Simon Puccioni,2013
Les Merveilles,Alice Rohrwacher,2013
"Un peu, beaucoup, aveuglément",Clovis Cornillac,2015
Der Samurai,Till Kleinert,2014
Ladygrey,Alain Choquart,2013
Kandahar,Mohsen Makhmalbaf,2000
Tu dors Nicole,Stéphane Lafleur,2014
L'Enfant Miroir,Philip Ridley,1990
Le Tournoi,Elodie Namer,2014
Jamais de la vie,Pierre Jolivet,2014
La Maison au toit rouge,Yoji Yamada,2014
Un jeune Poète,Damien Manivel,2014
El Tercero,Rodrigo Guerrero,2014
Le Labyrinthe du silence,Giulio Ricciarelli,2013
Un pigeon perché sur une branche philosophait sur l'existence,Roy Andersson,2014
Jauja,Lisandro Alonso,2013
Jamie Marks Is Dead,Carter Smith,2014
Arnaud fait son 2ème film,Arnaud Viard,2015
La vie des bêtes,Orso Miret,2014
The Major,Yuriy Bykov,2012
La Duchesse de Varsovie,Joseph Morder,2013
Que viva Eisenstein !,Peter Greenaway,2015
Dear White People,Justin Simien,2013
La Pierre lancée,Sándor Sára,1968
La Sapienza,Eugène Green,2013
The Voices,Marjane Satrapi,2013
Le Petit Homme,Sudabeh Mortezai,2014
Max et Lenny,Fred Nicolas,2013
Mon amie Victoria,Jean Paul Civeyrac,2014
1001 Grammes,Bent Hamer,2014
Mammuth,"Gustave Kervern,Benoît Delépine",2010
Les Aventures de Rabbi Jacob,Gérard Oury,1973
Chelli,Asaf Korman,2014
Loin de mon père,Keren Yedaya,2013
Histoire de Judas,Rabah Ameur-Zaïmeche,2014
"Wesh Wesh, qu'est-ce qui se passe ?",Rabah Ameur-Zaïmeche,2001
Por las plumas,Neto Villalobos,2013
Palma Real Motel,Aarón Fernández Lesur,2013
El Mudo,Daniel Vega Vidal,2013
Woyzeck,Werner Herzog,1978
Signes de Vie,Werner Herzog,1967
"Aguirre, la colère de Dieu",Werner Herzog,1972
Cœur de verre,Werner Herzog,1976
Cañada Morrison,Matias Lucchesi,2013
Cobra verde,Werner Herzog,1987
La Ballade de Bruno,Werner Herzog,1976
Tip Top,Serge Bozon,2012
Dos à la mer,Steve Moreau,2014
Il était une fois Veronica,Marcelo Gomes,2012
Réalité,"Quentin Dupieux,Quentin Dupieux",2012
Paradis : Foi,Ulrich Seidl,2012
Paradis : Amour,Ulrich Seidl,2012
Paradis : Espoir,Ulrich Seidl,2012
L’Énigme de Kaspar Hauser,Werner Herzog,1974
Retour à Ithaque,Laurent Cantet,2012
A 14 ans,Hélène Zimmer,2014
Les Jours venus,Romain Goupil,2014
Félix et Meira,Maxime Giroux,2014
Brooklyn,Pascal Tessaud,2014
Phoenix,Christian Petzold,2015
Rendez-vous à Atlit,Shirel Amitaï,2013
Discount,Louis-Julien Petit,2013
Qu'Allah bénisse la France,Abd Al Malik,2013
"Listen Up, Philip",Alex Ross Perry,2013
Tangos : L'Exil de Gardel,Fernando Ezequiel Solanas,1985
Le Sud,Fernando Ezequiel Solanas,1988
Alda et Maria,Maria Esperança Pascoal,2011
Le Voyage,Fernando Ezequiel Solanas,1990
Le Nuage,Fernando Ezequiel Solanas,1998
Apart Together,Quan'an Wang,2009
Difret,Zeresenay Mehari,2014
A Girl At my Door,July Jung,2013
Someone You Love,Pernille Fischer Christensen,2014
"Terra Nullius, confessions d'un mercenaire",Salomé Lamas,2012
The Smell Of Us,Larry Clark,2013
The Cut,Fatih Akin,2013
Le Temps du loup,Michael Haneke,2002
Whiplash,Damien Chazelle,2013
Eden,Mia Hansen-Løve,2013
"Fidelio, l'odyssée d'Alice",Lucie Borleteau,2013
L'Incomprise,Asia Argento,2013
Cours sans te retourner,Pepe Danquart,2012
White God,Kornel Mundruczó,2013
Zouzou,Blandine Lenoir,2014
Coming Home,Ann Smart,2013
L'Oranais,Lyes Salem,2013
Siddharth,Richie Mehta,2013
Mange tes morts - Tu ne diras point,Jean-Charles Hue,2013
Tiens-toi droite,Katia Lewkowicz,2013
Timbuktu,Abderrahmane Sissako,2013
In the Family,Patrick Wang,2010
Un Heureux événement,Rémi Bezançon,2011
L'Homme qu'on aimait trop,André Téchiné,2013
Marie Heurtin,Jean-Pierre Améris,2013
De l'autre côté du mur,Christian Schwochow,2012
Le Cochon de Gaza,Sylvain Estibal,2011
Total Recall,Paul Verhoeven,1990
Historia del miedo (Histoire de la peur),Benjamin Naishtat,2013
Terre battue,Stéphane Demoustier,2013
Why Don't You Play In Hell ?,Sono Sion,2012
Chemin de croix,Dietrich Brüggemann,2014
Vie sauvage,Cédric Kahn,2013
Snö,Simon Kaijser,2012
Lilies - Les Feluettes,John Greyson,1996
Bad Lieutenant,Abel Ferrara,1992
Tuer un homme,Alejandro Fernández Almendras,2014
"Eka et Natia, chronique d'une jeunesse géorgienne","Nana Ekvtimishvili,Simon Groß",2013
Je ne suis pas lui,Tayfun Pirselimoğlu,2014
Housebound,Gerard Johnstone,2013
Love and Other Lessons,Josh Radnor,2012
Chromosome 3,"David Cronenberg,David Cronenberg",1978
Saint Laurent,Bertrand Bonello,2013
Obvious Child,Gillian Robespierre,2014
Métamorphoses,Christophe Honoré,2013
Boys Like Us,Patric Chiha,2014
Ugly,Anurag Kashyap,2013
L'Institutrice,Nadav Lapid,2013
Still the Water,Naomi Kawase,2013
La Nuit nous appartient,James Gray,2006
Gaby Baby Doll,Sophie Letourneur,2013
Les Gouffres,Antoine Barraud,2012
La Pièce manquante,Nicolas Birkenstock,2012
Brèves de comptoir,Jean-Michel Ribes,2013
Obsession,Brian De Palma,1976
La Saison des hommes,Moufida Tlatli,1999
"Danbé, la tête haute",Bourlem Guerdjou,2014
Actrices,Valéria Bruni Tedeschi,2007
Near Death Experience,"Gustave Kervern,Benoît Delépine",2013
Young Ones,Jake Paltrow,2013
La Diagonale du fou,Richard Dembo,1983
Palerme,Emma Dante,2013
Bande à part,Jean-Luc Godard,1964
Toy Boy,David Mackenzie,2008
Pattes blanches,Jean Grémillon,1948
La Drôlesse,Jacques Doillon,1979
Capitaines d'avril,Maria de Medeiros,1999
Le Garçu,Maurice Pialat,1995
16 courts métrages des Maisons closes,Anonyme,1905
Reaching for the Moon,Bruno Barreto,2013
Les Petits Ruisseaux,Pascal Rabaté,2009
Nights and Weekends,"Joe Swanberg,Greta Gerwig",2008
Ligne d'eau,Tomasz Wasilewski (Woszczynski),2013
Shapito Show - partie 2,Sergey Loban,2011
Shapito Show - partie 1,Sergey Loban,2012
Aurora,Cristi Puiu,2010
Ceux qui dansent sur la tête,Magaly Richard-Serrano,2014
Le Procès de Viviane Amsalem,"Ronit Elkabetz,Shlomi Elkabetz",2013
L'Arbitro,Paolo Zucca,2013
Stockholm,Rodrigo Sorogoyen,2013
Ping Pong Summer,Michael Tully,2014
Au premier regard,Daniel Ribeiro,2013
King of the Travellers,Mark O'Connor,2012
Out of Here,Donal Foreman,2013
Ablations,Arnold De Parscau,2013
Oro Verde,Mohammed Soudani,2014
My German Friend,Jeanine Meerapfel,2012
Tom à la ferme,Xavier Dolan,2013
Du goudron et des plumes,Pascal Rabaté,2013
Métabolisme ou quand le soir tombe sur Bucarest,Corneliu Porumboiu,2013
Xenia,Panos H. Koutras,2013
Swim Little Fish Swim,"Lola Bessis,Ruben Amar",2013
Black Coal,Diao Yi'nan,2013
Peau d'âne,Jacques Demy,1970
Caché,"Michael Haneke,Michael Haneke",2004
Palace Beach Hotel,Philippe Venault,2014
Épilogue,Amir Manor,2012
La Source,Ingmar Bergman,1960
Tomboy,Céline Sciamma,2010
Cupcakes,Eytan Fox,2013
Margarita,"Dominique Cardona,Laurie Colbert",2012
Eastern Boys,Robin Campillo,2013
Gerontophilia,Bruce La Bruce,2013
Les Drôles de poissons-chats,Claudia Sainte-Luce,2013
Heli,Amat Escalante,2013
Bird people,Pascale Ferran,2012
Pilules bleues,Jean-Philippe Amar,2013
D'une vie à l'autre,Georg Maas,2012
Elena,Andreï Zviaguintsev,2010
Girafada,Rani Massalha,2012
Barbara,Christian Petzold,2011
La Désintégration,Philippe Faucon,2011
Buffet froid,Bertrand Blier,1979
Melaza,Carlos Lechuga,2011
Una noche,Lucy Mulloy,2012
May in the Summer,Cherien Dabis,2013
French Cancan,Jean Renoir,1954
Le Jour se lève,Marcel Carné,1939
Goltzius et la compagnie du pélican,Peter Greenaway,2012
Le Miraculé,Jean-Pierre Mocky,1987
Oh my god!,Tanya Wexler,2010
"Echo Park, L.A.","Richard Glatzer,Wash Westmoreland",2005
Layla,Pia Marais,2013
La Tour Montparnasse infernale,Charles Nemes,2000
Basic Instinct,Paul Verhoeven,1991
La Vie comme maladie mortelle sexuellement transmissible,Krzysztof Zanussi,2000
La Vida útil,Federico Veiroj,2010
Afrik'aïoli,Christian Philibert,2013
In Another Country,Hong Sang-soo,2011
Burn after reading,"Ethan Coen,Joel Coen",2007
L'Armée des ombres,Jean-Pierre Melville,1969
Nebraska,Alexander Payne,2013
La Nuit des Morts-Vivants,George A. Romero,1968
Je fais le mort,Jean-Paul Salomé,2012
Les Amants du Texas,David Lowery,2012
L'Apollonide,Bertrand Bonello,2009
Jasmine,Alain Ughetto,2013
"Oslo, 31 août",Joachim Trier,2011
Starbuck,Ken Scott,2011
Youth,Tom Shoval,2013
United Passions - La Légende du Football,Frédéric Auburtin,2014
Julie est amoureuse,Vincent Dietschy,1997
L'Interprète,Sydney Pollack,2004
Emmanuelle,Just Jaeckin,1974
Des étoiles,Dyana Gaye,2013
La Bête,Walerian Borowczyk,1975
Elephant Man,David Lynch,1980
Confession d'un enfant du siècle,Sylvie Verheyde,2011
La Demora,Rodrigo Plá,2011
Le Sens de l'humour,Marilyne Canto,2013
All or Nothing,Mike Leigh,2002
Il Divo,"Paolo Sorrentino,Paolo Sorrentino",2008
Les Amants criminels,François Ozon,1998
Le Voyeur,Michael Powell,1959
Gloria,Sebastián Lelio,2013
I Used To Be Darker,Matt Porterfield,2013
Bethléem,Yuval Adler,2013
17 filles,"Muriel Coulin,Delphine Coulin",2011
Le Moine,Dominik Moll,2010
Solange et les vivants,Ina Mihalache,2015
Les Grandes Ondes (à l'Ouest),Lionel Baier,2013
La Constante,Krzysztof Zanussi,1980
Une Histoire vraie,David Lynch,1999
Trop belle pour toi,Bertrand Blier,1990
Sitcom,François Ozon,1998
Portier de nuit,Liliana Cavani,1973
Journal intime (Caro diaro),Nanni Moretti,1993
Le Charme discret de la bourgeoisie,Luis Buñuel,1972
Un beau dimanche,Nicole Garcia,2013
Beaucoup de bruit pour rien,Joss Whedon,2012
A Touch Of Sin,Jia Zhangke,2012
Messiah of Evil,Willard Huyck,1971
Dans un jardin je suis entré,Avi Mograbi,2012
We Need To Talk About Kevin,Lynne Ramsay,2010
Camille Claudel,Bruno Nuytten,1987
Le Doulos,Jean-Pierre Melville,1961
Le Fantôme de la liberté,Luis Buñuel,1974
Divorce à l'italienne,Pietro Germi,1962
Il était une fois en Anatolie,Nuri Bilge Ceylan,2011
Lulu femme nue,Solveig Anspach,2013
Aime et fais ce que tu veux,Malgoska Szumowska,2013
Les Choses de la vie,Claude Sautet,1969
R (2010),"Tobias Lindholm,Michael Noer",2010
Le Cours étrange des choses,Raphaël Nadjari,2013
L'Éclipse,"Michelangelo Antonioni,Michelangelo Antonioni",1961
Pontypool,Bruce McDonald,2008
"Wajma, une fiancée afghane",Barmak Akram,2012
When Night Is Falling,Patricia Rozema,1995
Le Chant des sirènes,Patricia Rozema,1986
Interior. Leather Bar.,"Travis Mathews,James Franco",2013
Le Démantèlement,Sébastien Pilote,2012
Workers,José Luis Valle,2012
Quelques jours avec moi,Claude Sautet,1987
Un coeur en hiver.,"Claude Sautet,Claude Sautet.",1992
Imogène,"Shari Springer Berman,Robert Pulcini",2012
Mado,Claude Sautet,1976
The Deep Blue Sea,Terence Davies,2010
The Lunchbox,Ritesh Batra,2012
Mishima,Paul Schrader,1984
Celui que nous laisserons,Caetano Gotardo,2013
La Jalousie,Philippe Garrel,2013
Réussir sa vie,Benoît Forgeard,2011
Mutual Appreciation,Andrew Bujalski,2005
Hannah Takes The Stairs,Joe Swanberg,2007
Beeswax,Andrew Bujalski,2009
Salvo,"Fabio Grassadonia,Antonio Piazza",2012
Ilo Ilo,Anthony Chen,2013
Funny ha ha,Andrew Bujalski,2002
Low Life,"Nicolas Klotz,Elisabeth Perceval",2010
Le Grand'Tour,Jérôme le Maire,2012
Le Grand Soir,"Gustave Kervern,Benoît Delépine",2011
Al cielo,Diego Prado,2012
Mosquita y Mari,Aurora Guerrero,2012
Cap nord,Sandrine Rinaldi,2007
Torpedo,Matthieu Donck,2011
Les Géants,Bouli Lanners,2010
Un Château en Italie,Valéria Bruni Tedeschi,2012
Les Rencontres d'après minuit,Yann Gonzalez,2013
Hyènes,Djibril Diop Mambéty,1992
La Beauté du monde,Yves Caumon,1998
La Carrière de Suzanne,"Éric Rohmer,Éric Rohmer (à supprimer)",1962
Messe noire,Eric Weston,1981
Heimat I - Chronique d'un rêve,Edgar Reitz,2013
Drive,Nicolas Winding Refn,2010
Prince of Texas,David Gordon Green,2012
Heimat II - L'Exode,Edgar Reitz,2013
Long Way Home,Peter Sollett,2001
Room 514,Sharon Bar-Ziv,2011
"Dehors, c'est l'été",Friederike Jehn,2012
Coco Chanel et Igor Stravinsky,Jan Kounen,2009
L'Illusionniste,Jos Stelling,1984
Suspiria,Dario Argento,1977
Série noire,Alain Corneau,1978
Capitaine Conan,Bertrand Tavernier,1996
Jimmy P. (Psychothérapie d'un Indien des Plaines),Arnaud Desplechin,2013
Billy Elliot,Stephen Daldry,1999
Romeos,Sabine Bernardi,2011
La Vie domestique,Isabelle Czajka,2012
An Oversimplification of her Beauty,Terence Nance,2012
En terrains connus,Stéphane Lafleur,2011
Eat Sleep Die,Gabriela Pichler,2012
Ici et là-bas,Antonio Méndez Esparza,2011
Max et les ferrailleurs,Claude Sautet,1970
L'étrangère,Feo Aladag,2010
Orléans,Virgil Vernier,2012
Danse dans la poussière,Asghar Farhadi,2003
La Bataille de Solférino,Justine Triet,2012
El estudiante ou récit d'une jeunesse révoltée,Santiago Mitre,2011
La Marquise d'O...,Éric Rohmer,1976
Roc & Canyon,Sophie Letourneur,2007
Blonde et Brune,Christine Dory,2004
Keep smiling,Rusudan Chkonia,2011
"Ma meilleure amie, sa sœur et moi",Lynn Shelton,2011
Two Lovers,James Gray,2007
Notturno,Gianfranco Rosi,2019
Twelve,Joel Schumacher,2010
Charlie Countryman,Fredrik Bond,2012
Le Diable au corps,Marco Bellocchio,1986
Un possible amour,Christophe Lamotte,1999
L'Arche de Noé,Philippe Ramos,1999
Flying with one wing,Asoka Handagama,2002
Mort à vendre,Faouzi Bensaïdi,2011
This is My Moon,Asoka Handagama,2000
Parlez-moi de vous,Pierre Pinaud,2010
Les Hauts de Hurlevent,Andrea Arnold,2011
"Ini Avan, celui qui revient",Asoka Handagama,2012
Tilt,Viktor Chouchkov,2011
Basilicata Coast To Coast,Rocco Papaleo,2010
Silences d'état,Frédéric Berthe,2011
À Demi-Mots (Silent Youth),Diemo Kemmesies,2011
Je suis supporter du Standard,Riton Liebman,2013
Leave It On The Floor,Sheldon Larry,2012
"Continental, un film sans fusil",Stéphane Lafleur,2007
Le Matelot 512,René Allio,1984
Rude journée pour la reine,René Allio,1973
Les Camisards,René Allio,1970
Landes,François-Xavier Vives,2012
Gold,Thomas Arslan,2013
Umbracle,Pere Portabella,1970
Bellflower,Evan Glodell,2010
Pont de Varsovie,Pere Portabella,1990
Les Meilleures intentions,Bille August,1991
Portabella / Miró : 5 courts-métrages,Pere Portabella,1969
Le Silence avant Bach,Pere Portabella,2007
Nocturno 29,Pere Portabella,1968
It Felt Like Love,Eliza Hittman,2012
Le Petit Poucet,Marina de Van,2010
Les amants du Flore,Ilan Duran Cohen,2005
Blackbird,Jason Buxton,2012
Before Midnight,Richard Linklater,2012
Generation War (2/3),Philipp Kadelbach,2012
Generation War (1/3),Philipp Kadelbach,2012
Generation War (3/3),Philipp Kadelbach,2012
Louise Wimmer,Cyril Mennegun,2011
Good As You,Mariano Lamberti,2011
Un amour de jeunesse,Mia Hansen-Løve,2010
"Bi, n'aie pas peur !",Dang Di Phan,2009
A Serious Man,"Joel Coen,Ethan Coen",2009
Frances Ha,Noah Baumbach,2012
Just The Wind,Bence Fliegauf,2012
[REC],Jaume Balagueró Et Paco Plaza,2007
Le Carnaval des âmes,"Harold ""herk"" Harvey",1962
Les Beaux jours,Marion Vernoux,2012
L'Âge atomique,Héléna Klotz,2011
La Fille du 14 juillet,Antonin Peretjatko,2012
Lenny And The Kids,"Benny Safdie,Joshua Safdie",2008
La Femme de Gilles,Frédéric Fonteyne,2003
La Playa,Juan Andrés Arango Garcia,2011
"Diaz, un crime d'état",Daniele Vicari,2012
Odete,João Pedro Rodrigues,2005
Post Tenebras Lux,Carlos Reygadas,2011
Hannah Arendt,Margarethe Von Trotta,2012
Le Mur invisible,Julian Pölsler,2012
Sous le figuier,Anne-Marie Etienne,2011
Yossi,Eytan Fox,2012
Conte d'Automne,Éric Rohmer,1997
Rêve et silence,Jaime Rosales,2011
Nana,Valérie Massadian,2011
L'Attentat,Ziad Doueiri,2012
Ombline,Stéphane Cazes,2011
I Want Your Love,Travis Mathews,2012
Demain ?,Christine Laurent,2011
Les Coquillettes,"Sophie Letourneur,Sophie Letourneur",2011
Le Repenti,Merzak Allouache,2012
A Perfect Ending,Nicole Conn,2011
What Richard Did,Lenny Abrahamson,2012
L'Été d'Alexa,Aaron Douglas Johnston,2010
Somebody Up There Likes Me,Bob Byington,2012
Les Jeux des nuages et de la pluie,Benjamin de Lajarte,2012
Les Voisins de Dieu,Meni Yaesh,2011
Inch'allah,Anaïs Barbeau-Lavalette,2011
Les Vécés étaient fermés de l'intérieur,Patrice Leconte,1975
Lovely Rita,Stéphane Clavier,2002
Médée miracle,Tonino De Bernardi,2007
La Poison,Sacha Guitry,1951
Nous irons tous au paradis,Yves Robert,1977
Les Meilleurs amis du monde,Julien Rambaldi,2009
Qui perd gagne !,Laurent Bénégui,2003
La Traversée de Paris,Claude Autant-Lara,1956
Alata,Michael Mayer,2012
Ne nous fâchons pas,Georges Lautner,1966
Camille Claudel 1915,Bruno Dumont,2012
Lore,Cate Shortland,2012
Beautiful Valley,Hadar Friedlich,2011
Sur le chemin des dunes,Bavo Defurne,2010
Le Tigre du Bengale,Fritz Lang,1958
Le Dernier été de la Boyita,Julia Solomonoff,2009
Week-end royal,Roger Michell,2012
Mystery,Ye LOU,2012
Au bout du conte,Agnès Jaoui,2012
Kung-Fu Masters,"Derek Chi-kin Kwok,Clement Sze-Kit Cheng",2010
Maniac,Franck Khalfoun,2011
Voie Rapide,Christophe Sahr,2010
Maître du monde,Enrico Alexander Giordano,2010
Persona,Ingmar Bergman,1965
Violeta,Andrés Wood,2011
Malcolm,Ashley Cahill,2012
Mariage à Mendoza,Édouard Deluc,2012
Just like a woman,Rachid Bouchareb,2011
Pour lui,Andreas Dresen,2011
Le Sexe des anges,Xavier Villaverde,2012
Oranges And Sunshine,Jim Loach,2009
Nouveau souffle,Karl Markovics,2010
The Island,Kamen Kalev,2010
Pure,Lisa Langseth,2009
A Little Closer,Matthew Petock,2011
Hors les murs,David Lambert,2011
Tabou,Miguel Gomes,2011
House Of Boys,Jean-Claude Schlim,2009
Gimme the Loot,Adam Leon,2012
Sharqiya,Ami Livne,2011
Gangs of Wasseypur,Anurag Kashyap,2011
Venganza,Agustín Díaz Yanes,2008
Old Boy,Park Chan-wook,2003
Nuits d'ivresse printanière,Ye LOU,2008
6 histoires courtes de Pascal-Alex Vincent,Pascal-Alex Vincent,2001
Le Temps qu'il reste,Elia Suleiman,2008
Les Trois jours du Condor,Sydney Pollack,1975
Prayers for Bobby — Bobby : seul contre tous,Russell Mulcahy,2009
Les Secrets,Raja Amari,2009
Rebelle,Kim Nguyen,2011
The Hunter,Rafi Pitts,2010
Au bonheur des dames,Julien Duvivier,1930
Le déclin de l'empire masculin,Angelo Cianci,2012
Bachelorette,Leslye Headland,2012
La Vie devant soi,Myriam Boyer,2010
Une famille respectable,Massoud Bakhshi,2012
Les Paradis artificiels,Marcos Prado,2012
Tourbillon,"Clarissa Campolina,Helvécio Marins Jr.",2011
The Color Wheel,Alex Ross Perry,2010
Exam,Stuart Hazeldine,2009
Où va la nuit,Martin Provost,2010
Sound of Noise,"Ola Simonsson,Johannes Stjärne Nilsson",2010
"Thirst, ceci est mon sang",Park Chan-wook,2008
God bless America,Bobcat Goldthwait,2011
11 Fleurs,Wang Xiaoshuai,2011
Hôtel des Amériques,André Téchiné,1982
L'Empire de la passion,Nagisa Oshima,1978
For Ellen,So Yong Kim,2010
Quelques heures de printemps,Stéphane Brizé,2012
Sans toit ni loi,Agnès Varda,1985
Saya zamuraï,Hitoshi Matsumoto,2010
Broken,Rufus Norris,2012
Mods,Serge Bozon,2002
Insolation,"Felipe Hirsch,Daniela Thomas",2009
Dernière séance,Laurent Achard,2010
Documenteur,Agnès Varda,1980
Huacho,Alejandro Fernández Almendras,2008
Loulou,Maurice Pialat,1980
Oh Boy,Jan Ole Gerster,2012
Cléo de 5 à 7,Agnès Varda,1961
Bezness,Nouri Bouzid,1991
Bye-bye,Karim Dridi,1995
The Constant Gardener,Fernando Meirelles,2005
Comme un homme,Safy Nebbou,2012
Amelia Lopes O'Neill,Valeria Sarmiento,1990
La Chambre des morts,Alfred Lot,2007
Gadjo Dilo,Tony Gatlif,1997
La Chair de l'orchidée,Patrice Chéreau,1974
Liberté-Oléron,Bruno Podalydès,1999
Puzzle,Natalia Smirnoff,2009
La Camara oscura,María Victoria Menis,2008
Drama,Matias Lira,2011
Independencia,Raya Martin,2008
Postcards From The Zoo,Edwin,2012
Les Enfants de Belle Ville,Asghar Farhadi,2004
Tamara Drewe,Stephen Frears,2009
Chercher le garçon,Dorothée Sebbagh,2012
La rivière Tumen,Zhang Lu,2012
Holy Motors,Leos Carax,2011
Bye Bye Blondie,Virginie Despentes,2010
Faust,Alexandre Sokourov,2011
Chaumière,Emmanuel Marre,2013
Perceval le Gallois,Éric Rohmer,1978
Another Year,Mike Leigh,2010
Belle de jour,Luis Buñuel,1966
"Ulysse, souviens-toi !",Guy Maddin,2010
La Collectionneuse,Éric Rohmer,1966
Le Paradis des bêtes,Estelle Larrivaz,2011
Asylum,Roy Ward Baker,1971
Les Ailes de la renommée,Otakar Votocek,1990
Loin du paradis,Todd Haynes,2001
I'm not There,Todd Haynes,2006
Film socialisme,Jean-Luc Godard,2008
Anatomie d'un rapport,"Luc Moullet,Antonietta Pizzorno",1975
"Empty Quarter, une femme en Afrique",Raymond Depardon,1984
Diego y Sebastian,Edwin Oyarce,2011
"Policier, adjectif",Corneliu Porumboiu,2009
Une jeunesse israélienne,Mushon Salmona,2007
Infiltration,Dover Kosashvili,2009
Ilusiones opticas,Cristián Jiménez,2010
"My Father, My Lord",David Volach,2007
Le Vagabond,Avishai Sivan,2010
Le Dernier Voyage de Tanya,Aleksei Fedorchenko,2010
Otto,Bruce La Bruce,2008
Les Dieux de la vague,Dan Castle,2008
Nos années sauvages,Wong Kar-Wai,1990
Le Bruit des glaçons,Bertrand Blier,2009
Nous nous sommes tant aimés,"Ettore Scola,Ettore Scola",1974
Je suis une ville endormie,Sebastien Betbeder,2011
L'Empire des sens,Nagisa Oshima,1975
Les Égarés,André Téchiné,2002
La Terre outragée,Michale Boganim,2011
Accident,Cheang SOI,2008
The Wrestler,Darren Aronofsky,2008
"Bruegel, le moulin et la croix",Lech Majewski,2010
El Bonaerense,Pablo Trapero,2001
Two gates of sleep,Alistair Banks Griffin,2010
Poetry,Chang-dong Lee,2009
A 5 heures de Paris,Leon Prudovsky,2009
Une bouteille à la mer,Thierry Binisti,2010
Le Cheval de Turin,"Béla Tarr,Ágnes Hranitzky",2010
L'Année dernière à Marienbad,Alain Resnais,1961
Contracorriente,Javier Fuentes-León,2009
Les Sièges de l'Alcazar,Luc Moullet,1989
Jeanne captive,Philippe Ramos,2010
Absent,Marco Berger,2011
La Captive du désert,Raymond Depardon,1989
Plein soleil,René Clément,1960
Mulholland Drive,David Lynch,2001
Tristana,Luis Buñuel,1969
Sous le sable,François Ozon,2000
Pépé le Moko,Julien Duvivier,1936
Le Petit Criminel,Jacques Doillon,1990
La Journée de la jupe,Jean-Paul Lilienfeld,2008
L'Amour l'après-midi,Éric Rohmer,1972
La Chambre du fils,Nanni Moretti,2000
Cet obscur objet du désir,Luis Buñuel,1977
Lantana,Ray Lawrence,2000
Casque d'or,Jacques Becker,1951
8 femmes,François Ozon,2002
Arizona Dream,Emir Kusturica,1992
Ballroom Dancing,Baz Luhrmann,1991
Le Mépris,Jean-Luc Godard,1963
Le Grand Silence (de Sergio Corbucci),Sergio Corbucci,1968
Le Déjeuner sur l'herbe,"Jean Renoir,Jean Renoir",1959
Intimité,Patrice Chéreau,2000
Max mon amour,Nagisa Oshima,1986
Gabrielle,Patrice Chéreau,2004
Aprile,Nanni Moretti,1997
Contes immoraux,Walerian Borowczyk,1974
Muriel ou le temps d'un retour,Alain Resnais,1963
Un monde sans femmes,"Guillaume Brac,Guillaume Brac",2011
Curling,Denis Côté,2010
Foxfire,Laurent Cantet,2011
Je suis une île,Simon Vahlne,2010
Le Vent se lève,Ken Loach,2005
Take Shelter,Jeff Nichols,2010
Michael,Markus Schleinzer,2010
Corpo Celeste,Alice Rohrwacher,2011
Léa,Bruno Rolland,2010
Les Révoltés de l'île du Diable,Marius Holst,2010
Ex Drummer,Koen Mortier,2007
Los muertos,Lisandro Alonso,2004
Au fond des bois,Benoît Jacquot,2009
L'Ami de mon amie,Éric Rohmer,1986
Bonsaï,Cristián Jiménez,2010
"Paris, Texas",Wim Wenders,1983
Le Tambour,Volker Schlöndorff,1978
L'As de pique,Miloš Forman,1963
Ville en chaleur,Hernán Gaffet,2007
Un cas pour un bourreau débutant,Pavel Juráček,1970
L'Oreille,Karel Kachyna,1969
Les Petites Marguerites,Věra Chytilová,1966
Marketa Lazarová,František Vláčil,1967
Trains étroitement surveillés,Jiří Menzel,1966
Les Diamants de la nuit,Jan Němec,1964
Le Club du suicide,Roberto Santiago,2007
Une femme invisible,Gerardo Herrero,2006
Vents contraires,Gerardo Herrero,2005
Abrígate (Couvre-toi),Ramón Costafreda,2006
Une rose de France,Manuel Gutiérrez Aragón,2005
Froid Soleil d'hiver,Pablo Malo,2003
De profundis,Miguelanxo Prado,2006
Agallas (Du cran),"Andrés Luque Pérez,Samuel Martín Mateos",2009
Soñar no cuesta nada,Rodrigo Triana,2006
Pour que tu ne m'oublies pas,Patricia Ferreira,2004
La Crise carnivore,Pedro Rivero,2007
Atlas de géographie humaine,Azucena Rodríguez,2006
Tetro,Francis Ford Coppola,2008
Lourdes,Jessica Hausner,2008
Maudite pluie !,Satish Manwar,2009
César et Rosalie,Claude Sautet,1972
White lightnin',Dominic Murphy,2008
My Little Princess,Eva Ionesco,2011
Ça brûle,Claire Simon,2006
